NomeAnonimo,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,31,Presença,Falta
Nome144,F,F,F,p,P,F,F,F,P,p,P,F,F,p,P,F,P,p,F,9.0,10.0
Nome145,P,P,P,P,P,P,P,P,P,p,P,p,p,p ,p,P,P,P,P,18.0,0.0
Nome146,F,F,P,F,P,F,P,P,P,p,F,p,F,F,P,F,F,F,F,8.0,11.0
Nome147,F,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.0,18.0
Nome148,F,P,F,F,P,P,P,P,P,F,P,P,P,p,P,p,P,P,P,15.0,4.0
Nome149,F,F,F,F,F,F,F,F,F,P,F,F,F,F,F,F,F,F,F,1.0,18.0
Nome150,F,F,F,F,F,F,F,F,p,P,P,P,P,P,P,F,F,P,F,8.0,11.0
Nome151,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome152,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome153,F,P,P,F,F,F,P,P,P,F,F,P,F,F,F,F,F,F,F,6.0,13.0
Nome154,F,F,F,F,P,P,P,F,F,F,P,F,F,P,F,F,F,F,F,5.0,14.0
Nome155,F,P,P,P,P,F,P,P,P,p,P,P,P,P,P,p,P,P,P,17.0,2.0
Nome156,P,P,P,P,P,F,F,P,F,P,P,p,P,p,P,F,p,P,P,15.0,4.0
Nome157,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome158,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome159,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome160,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome161,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome162,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome163,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome164,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome165,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome166,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome167,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome168,,,,,,,,,,,,,,,,,,,,0.0,0.0
